"company","ticker","fair_value","price","mkt_cap","shares","CEO"
"Gilead Sciences","GILD","86.51","65.3","88.0244","1348000000","Daniel O'Day"
"Globe Life","GL","13.75","50.07","6.071717971","121264589","J. Matthew Darden and Frank M. Svoboda (Co-Chairmen and Co-Chief Executive Officers)"
"GoDaddy","GDDY","13.03","32.33","5.1136361","158170000","Aman Bhutani"
"Goldman Sachs","GS","210.5","128.51","53.66220394","417572204","David Solomon"
"Halliburton","HAL","13.26","29.57","25.31192","856000000","Jeff Miller"
"Hartford (The)","HIG","39.34","37.33","14.76785999","395603000","Christopher J. Swift"
"Hasbro","HAS","1.91","57.79","7.201995186","124623554","Chris Cocks"
"HCA Healthcare","HCA","82.61","72.55","28.5593075","393650000","Samuel N. Hazen"
"Healthpeak Properties","DOC","5.23","19.61","2.125318544","108379324","Scott M. Brinker"
"Henry Schein","HSIC","6.53","67.7","-","-","Frederick M. Lowery (effective March 2, 2026)"
"Hershey Company (The)","HSY","27.36","73.02","31.72529148","434474000","Kirk Tanner"
"Hewlett Packard Enterprise","HPE","21.32","7.96","13.66385013","1716564087","Antonio Neri"
"Hilton Worldwide","HLT","8.69","45.33","14.91357","329000000","Christopher J. Nassetta"
"Hologic","HOLX","10.08","34.5","9.79172307","283818060","Stephen P. MacMillan"
"Home Depot (The)","HD","312.8","105.71","132.34892","1252000000","Ted Decker"
"Honeywell","HON","81.44","82.72","69.78748315","843659129","Vimal Kapur"
"Hormel Foods","HRL","11.26","34.04","18.03839197","529917508","Jeffrey M. Ettinger"
"Host Hotels & Resorts","HST","3.27","11.62","8.670844","746200000","James F. Risoleo"
"HP Inc.","HPQ","51.99","9.06","15.7366412","1736936115","Enrique Lores"
"Hubbell Incorporated","HUBB","6.65","86.31","4.988718","57800000","Gerben W. Bakker"
"Humana","HUM","48.14","169.71","25.29301055","149036654","Jim Rechtin"
"Huntington Bancshares","HBAN","28.44","6.43","5.122710765","796689077","Stephen D. Steinour"
"Huntington Ingalls Industries","HII","9.94","113.63","5.351973","47100000","Christopher D. Kastner"
"IBM","IBM","93.27","95.54","95.93363407","1004120097","Arvind Krishna"
"IDEX Corporation","IEX","6.56","73.26","5.562587624","75929397","Eric D. Ashleman"
"Idexx Laboratories","IDXX","8.48","78.32","7.124264609","90963542","Jonathan Mazelsky (current President and Chief Executive Officer as of January 14, 2026). Note: Michael Erickson has been announced as his successor, effective May 12, 2026, at which point Mazelsky will transition to Executive Chair."
"Illinois Tool Works","ITW","45.28","82.04","29.4827436","359370351","Christopher A. O'Herlihy"
"Incyte","INCY","6","72.47","13.58103229","187402129","Bill Meury"
"Insulet Corporation","PODD","3.34","33.16","1.893849903","57112482","Ashley McEvoy"
"Intel","INTC","78.57","25.8","121.905","4725000000","Lip-Bu Tan"
"Interactive Brokers","IBKR","13.04","9.18","2.349681808","255956624","Milan Galik"
"Intercontinental Exchange","ICE","38.28","41.67","24.79365","595000000","Jeffrey Sprecher"
"International Flavors & Fragrances","IFF","1.51","100.17","7.991338119","79777759","J. Erik Fyrwald"
"International Paper","IP","13.4","25.7","12.18278688","474038400","Andrew ""Andy"" Silvernail"
"Interpublic Group of Companies (The)","IPG","11.84","15.85","6.39072","403200000","Philippe Krakowsky"
"Intuit","INTU","53.22","96.47","24.77554348","256821224","Sasan Goodarzi"
"Intuitive Surgical","ISRG","24.42","66.78","22.898862","342900000","Dave Rosa (David J. Rosa)"
"Invesco","IVZ","8.6","19.36","8.078274871","417266264","Andrew R. Schlossberg"
"IQVIA","IQV","18.04","65.1","7.7878479","119629000","Ari Bousbib"
"Iron Mountain","IRM","5.42","19.95","4.227260442","211892754","William Meaney"
"J.B. Hunt","JBHT","10.02","76.91","8.664244674","112654332","Shelley Simpson"
"Jabil","JBL","12.97","17.89","3.420347345","191187666","Michael Dastoor"
"Jack Henry & Associates","JKHY","5.87","75.28","7.73089571","102695214","Gregory R. Adelson"
"Jacobs Solutions","J","7.19","33.01","4.890219576","148143580","Robert V. Pragada (commonly known as Bob Pragada)"
"Johnson & Johnson","JNJ","330.1","82.65","228.6878909","2766943629","Joaquin Duato"
"Johnson Controls","JCI","29.65","30.37","12.32642375","405875000","Joakim Weidemanis"
"JPMorgan Chase","JPM","693.93","45.48","166.3048479","3656658925","Jamie Dimon"
"Keurig Dr Pepper","KDP","27.29","12.65","2.361681124","186694160","Tim Cofer"
"KeyCorp","KEY","11.3","7.38","6.2161002","842290000","Christopher M. Gorman"
"Keysight Technologies","KEYS","9.29","27.74","4.752162341","171310827","Satish Dhanasekaran"
"Kimberly-Clark","KMB","35.8","97.55","35.13751","360200000","Mike Hsu (Michael D. Hsu)"
"Kinder Morgan","KMI","26.76","10.88","24.25152","2229000000","Kimberly Allen Dang"
"KLA Corporation","KLAC","64.11","61.52","9.576488653","155664640","Richard P. Wallace (Rick Wallace)"
"Kroger","KR","37.86","31.36","30.18337995","962480228","Ron Sargent"
"Labcorp","LH","12","96.1","11.42094684","118844400","Adam H. Schechter"
"Lam Research","LRCX","59.49","7.21","11.4868999","1593190000","Timothy M. Archer"
"Las Vegas Sands","LVS","7.63","40.29","32.01929273","794720594","Robert G. Goldstein"
"Leidos","LDOS","12.28","31.76","2.291957891","72164921","Thomas A. Bell"
"Lennar","LEN","49.47","41.89","8.215071987","196110575","Stuart Miller"
"Lennox International","LII","8.01","120.85","5.444915482","45055155","Alok Maskara"
"Lilly (Eli)","LLY","163.55","61.08","67.68131561","1108076549","David Ricks"
"Live Nation Entertainment","LYV","1.05","22.31","4.516874702","202459646","Michael Rapino"
"LKQ Corporation","LKQ","10.21","28.66","8.784918428","306521927","Justin L. Jude"
"Lockheed Martin","LMT","113.32","170.74","51.98230846","304453019","Jim Taiclet (James D. Taiclet)"
"Loews Corporation","L","13.19","36.2","12.3042912","339897547","Benjamin J. Tisch (Ben Tisch)"
"Lowe's","LOW","121.41","63.26","57.5666","910000000","Marvin R. Ellison"
"Lululemon Athletica","LULU","25.84","67.71","8.632626933","127494121","Calvin McDonald (departing January 31, 2026; successor not yet named)"
"LyondellBasell","LYB","39.91","41.74","17.8713297","428158354","Peter Vanacker"
"M&T Bank","MTB","40.22","83.71","11.15768732","133289778","René F. Jones"
"Marathon Petroleum","MPC","59.36","27.38","14.49024766","529227453","Maryann T. Mannen"
"Marriott International","MAR","21.1","64.93","16.505206","254200000","Anthony Capuano"
"Marsh McLennan","MMC","55.35","51.65","26.90965","521000000","John Q. Doyle"
"Martin Marietta Materials","MLM","15.15","148.15","9.40826575","63505000","C. Howard Nye"
"Masco","MAS","15.09","27.17","9.040712515","332746136","Jon Nudi"
"Mastercard","MA","185.5","89.19","98.28738","1102000000","Michael Miebach"
"Match Group","MTCH","10.08","10.27","1.818273471","177047076","Spencer Rascoff"
"McCormick & Company","MKC","9.89","41.41","10.512143","253855180","Brendan M. Foley"
"McDonald's","MCD","120.05","99.25","87.12735995","877857531","Chris Kempczinski"
"McKesson Corporation","MCK","40.31","145.7","39.4847","271000000","Brian S. Tyler"
"Medtronic","MDT","64.86","58.63","82.14316586","1401043252","Geoff Martha"
"Merck & Co.","MRK","177.13","37.71","110.4010483","2927633208","Robert M. Davis"
"Meta Platforms","META","821.61","113.41","324.3526","2860000000","Mark Zuckerberg"
"MetLife","MET","67.11","25.11","30.94924922","1232546763","Michel A. Khalaf"
"Mettler Toledo","MTD","13.44","344.76","9.225468006","26759102","Patrick Kaltenbach"
"MGM Resorts","MGM","6.14","20.23","11.43286328","565144008","Bill Hornbuckle"
"Microchip Technology","MCHP","22.56","20.03","8.175513984","408163454","Steve Sanghi"
"Micron Technology","MU","8.41","10.22","11.1398","1090000000","Sanjay Mehrotra"
"Microsoft","MSFT","1392.16","48.7","383.269","7870000000","Satya Nadella"
"Mid-America Apartment Communities","MAA","8.84","72.34","5.462033509","75505025","A. Bradley Hill"
"Mohawk Industries","MHK","1.28","190.9","15.516352","81280000","Jeffrey S. Lorberbaum"
"Molina Healthcare","MOH","19.57","64.49","3.67593","57000000","Joseph Zubretsky"
"Molson Coors Beverage Company","TAP","6.74","76.41","0.198666","2600000","Rahul Goyal"
"Mondelez International","MDLZ","74.87","32.38","51.16147353","1580033154","Dirk Van de Put"
"Monolithic Power Systems","MPWR","19.17","58.79","2.36547444","40236000","Michael Hsing"
"Monster Beverage","MNST","26.16","22.23","27.08160858","1218246000","Hilton H. Schlosberg"
"Moody's Corporation","MCO","34.45","87.65","17.030395","194300000","Robert Fauber"
"Morgan Stanley","MS","196.32","18.98","36.7888271","1938294368","Ted Pick"
"Mosaic Company (The)","MOS","13.97","22.48","7.863504","349800000","Bruce M. Bodine"
"Motorola Solutions","MSI","22.04","65.34","11.39123518","174337851","Greg Brown"
"MSCI Inc.","MSCI","20.96","66.68","8.587696863","128789695","Henry A. Fernandez"
"Nasdaq, Inc.","NDAQ","22.02","18.95","9.351978438","493508097","Adena T. Friedman"
"NetApp","NTAP","14.73","21.32","6.163247385","289082898","George Kurian"
"Netflix","NFLX","100.55","10.22","43.77115788","4282892160","Ted Sarandos and Greg Peters (Co-CEOs)"
"Newmont","NEM","4.21","20.89","11.0717","530000000","Natascha Viljoen"
"News Corp","NWSA","2.28","7.21","0.03942524614","5468134","Robert Thomson"
"NextEra Energy","NEE","60.71","23.08","42.6006902","1845783804","John W. Ketchum"
"Nike, Inc.","NKE","83.01","54.27","91.44495","1685000000","Elliott Hill"
"NiSource","NI","6.96","17.26","5.546678519","321360285","Lloyd Yates"
"Nordson Corporation","NDSN","5.96","68.87","3.924904193","56990042","Sundaram ""Naga"" Nagarajan"
"Norfolk Southern","NSC","35.21","68.1","20.13974561","295737821","Mark George"
"Northern Trust","NTRS","24.9","50.18","11.44925507","228163712","Michael O'Grady"
"Northrop Grumman","NOC","64.17","169.12","30.58177596","180828855","Kathy Warden"
"Norwegian Cruise Line Holdings","NCLH","0.42","55.29","12.55090918","227001432","Harry Sommer"
"NRG Energy","NRG","14.5","10.64","3.350602181","314906220","Lawrence Coben"
"Nucor","NUE","42.33","38.16","12.19650451","319614898","Leon J. Topalian"
"Nvidia","NVDA","407.87","0.87","18.84910986","21665643520","Jensen Huang"
"NVR, Inc.","NVR","22.72","1732.4","6.723688668","3881141","Eugene J. Bredow"
"NXP Semiconductors","NXPI","33.8","72.39","-","-","Rafael Sotomayor"
"Occidental Petroleum","OXY","36.28","50.4","38.49257145","763741497","Vicki Hollub"
"Old Dominion","ODFL","15.56","22.29","5.593635244","250948194","Kevin M. Freeman"
"Omnicom Group","OMC","19.56","60.11","14.4017897","239590579","John Wren"
"ON Semiconductor","ON","15.53","9.59","3.95146173","412039805","Hassane El-Khoury"
"Oneok","OKE","32.36","16.36","3.437215599","210098753","Pierce H. Norton II"
"Oracle Corporation","ORCL","158.39","35.33","146.6147305","4149865000","Clay Magouyrk and Mike Sicilia (Co-CEOs)"
"Paccar","PCAR","36.4","25.71","13.55014045","527037746","R. Preston Feight"
"Packaging Corporation of America","PKG","10.87","45.62","4.38540498","96129000","Mark W. Kowlzan"
"Palo Alto Networks","PANW","12.53","27.19","14.4167588","530222832","Nikesh Arora"
"Parker Hannifin","PH","26.68","95.31","12.83649157","134681477","Jennifer A. Parmentier"
"Paychex","PAYX","25.82","40.31","14.51647969","360121054","John B. Gibson, Jr."
"Paycom","PAYC","6.97","34.9","1.994121679","57138157","Chad Richison"
"PayPal","PYPL","72.3","38.51","46.52008","1208000000","Alex Chriss"
"Pentair","PNR","7.11","31.06","8.357075038","269062300","John L. Stauch"
"PepsiCo","PEP","163.12","77.12","111.51552","1446000000","Ramon Laguarta"
"Pfizer","PFE","209.85","18.43","119.6140931","6490184109","Albert Bourla"
"PG&E Corporation","PCG","21.26","56.51","28.00673473","495606702","Patti Poppe"
"Philip Morris International","PM","146.17","60.64","93.95222434","1549344069","Jacek Olczak"
